Transition,"Initial State (n_i, ℓ)","Final State (n_f, ℓ)",Photon Energy (eV),Wavelength (nm),Visible (Yes/No)
3p → 2s,"(3, 1)","(2, 0)",1.89,656,Yes
3d → 2p,"(3, 2)","(2, 1)",1.89,656,Yes
3s → 2p,"(3, 0)","(2, 1)",1.89,656,Yes
4p → 2s,"(4, 1)","(2, 0)",2.55,486,Yes
4d → 2p,"(4, 2)","(2, 1)",2.55,486,Yes
4f → 2p,"(4, 3)","(2, 1)",2.55,486,Yes
5p → 2s,"(5, 1)","(2, 0)",2.86,434,Yes
5d → 2p,"(5, 2)","(2, 1)",2.86,434,Yes
5f → 2p,"(5, 3)","(2, 1)",2.86,434,Yes
5g → 2p,"(5, 4)","(2, 1)",2.86,434,Yes
